,Unnamed: 0,ID,first_wins,s,phi_vanilla,phi_avg,phi_entropy,gemma_27b_vanilla,gemma_27b_avg,gemma_27b_entropy,gemma_2b_vanilla,gemma_2b_avg,gemma_2b_entropy,gemma_9b_vanilla,gemma_9b_avg,gemma_9b_entropy,llama_3b_vanilla,llama_3b_avg,llama_3b_entropy,llama_8b_vanilla,llama_8b_avg,llama_8b_entropy,llama_70b_vanilla,llama_70b_avg,llama_70b_entropy,aya_32b_vanilla,aya_32b_avg,aya_32b_entropy,aya_8b_vanilla,aya_8b_avg,aya_8b_entropy,mixtral_vanilla,mixtral_avg,mixtral_entropy,conf_phi_vanilla,conf_phi_avg,conf_phi_entropy,conf_phi_verbal_conf,conf_llama_3b_vanilla,conf_llama_3b_avg,conf_llama_3b_entropy,conf_llama_3b_verbal_conf,conf_llama_8b_vanilla,conf_llama_8b_avg,conf_llama_8b_entropy,conf_llama_8b_verbal_conf,conf_llama_70b_vanilla,conf_llama_70b_avg,conf_llama_70b_entropy,conf_llama_70b_verbal_conf,conf_gemma_27b_vanilla,conf_gemma_27b_avg,conf_gemma_27b_entropy,conf_gemma_27b_verbal_conf,conf_gemma_2b_vanilla,conf_gemma_2b_avg,conf_gemma_2b_entropy,conf_gemma_2b_verbal_conf,conf_gemma_9b_vanilla,conf_gemma_9b_avg,conf_gemma_9b_entropy,conf_gemma_9b_verbal_conf,conf_aya_32b_vanilla,conf_aya_32b_avg,conf_aya_32b_entropy,conf_aya_32b_verbal_conf,conf_mixtral_vanilla,conf_mixtral_avg,conf_mixtral_entropy,conf_mixtral_verbal_conf,FKGL,ARI,RSRS_mBERT
0,0,305,1,"Words such as ""Undies"" for underwear and ""movie"" for ""moving picture"" are used in English.",2,1.868187237240818,0.0346994121413444,2,1.9856931605099817,0.0145751929529571,6,4.7802578285336494,0.1341028987476188,2,1.63913502071955,0.0761188713666863,1,3.0508480817079544,0.1429066958217561,4,3.0761023461818695,0.0921884126844098,2,2.0,-0.0,3,3.001942669394225,0.0017777221952418,3,2.9156189637820944,0.0295378397401837,1,1.500000054803615,0.0668191124179192,2,1.894994396711354,0.0304288163859441,8.086385349612101,4,2.997357189655304,0.1227501037044628,8.5,4,3.893633112311363,0.0744363005674799,8.0,2,2.0,-0.0,8.0,2,2.0823881641263142,0.0284985747266432,7.291557648806702,3,4.412972770631313,0.1410409687784647,6.6932479159440845,2,2.207376229358488,0.0642642553756569,8.98741067248308,3,3.002085527056124,0.012425412659944,7.294206292970017,1,1.029312208445131,0.0127578308853205,8.994779853609527,5.6,9.9,0.0004164762921941
1,1,1814,2,"Instead, the crew fashioned a trailer. The trailer had a Cantilevered arm attached to the ""Hovercraft"". They shot the scene while riding up Templin highway. It is north of Santa Clarita.",2,1.9937481289730383,0.0205618512471407,3,3.356909798747438,0.0568967548323054,6,5.22343278862536,0.105528995747078,4,4.010778255818877,0.0642790836252778,6,5.682397842407227,0.1096624423787517,4,4.657261162996292,0.0856536024449279,2,2.0918154418468475,0.0260775017343537,4,4.094134068254959,0.0260340866135195,4,3.814683189003517,0.0524695506824019,5,4.965742145751847,0.0202850948260217,2,2.029781019184896,0.0206368872983974,8.06166079435593,4,4.928326517343521,0.0929778618945208,7.397314846515655,4,4.862105816602707,0.0921883924137955,7.841131299734116,2,2.110727496445179,0.0295902015580156,8.0,4,4.168244484142633,0.0515268894655366,6.406714917780619,6,5.641967818257399,0.0843293660378595,6.95837594231125,5,5.403591407739441,0.0728580445044305,7.835490739771103,4,4.2015218925368885,0.0409773413241357,7.00310618581716,5,4.8124749704802525,0.050088577052555,7.880796420274631,4.0,6.1,0.0003245223103751
2,2,1787,2,"There are statues of Sir Alf Ramsey and Sir Bobby Robson. They are both former Ipswich town and England managers, outside the ground.",2,1.9484964520337515,0.0236597732112208,3,2.6951517667621374,0.0630674031153377,4,4.4114671144634485,0.1040830260212901,2,2.468920346494997,0.0639982706565845,6,5.263520948588848,0.1070476547547888,3,3.066880166530609,0.0930155652371613,2,2.0,-0.0,3,2.986116424574206,0.0060741384193457,3,3.229810878450735,0.0508591587387383,2,1.9241455850495592,0.0258910934916947,2,2.013313292541852,0.0140886422849151,8.082738335631802,4,4.403118595480919,0.0996853473621119,6.938209623098373,4,3.999999761581421,0.0601618859909297,8.0,2,2.0,-0.0,8.0,3,2.8731735958717763,0.0583136855037193,7.063031333086656,6,5.018292891792953,0.1108038607592707,7.137089102936443,3,2.8516650157398544,0.0549811536680705,8.131474209107182,3,2.9755532601005754,0.0105451661973958,7.651348841996054,1,1.222700178777701,0.0511210911363512,8.997527896793114,5.4,7.1,0.0003194583080644
3,3,485,2,"The press agreed that Veeck's ""Midget-In-A-Cake"" promotional appearance, before the second game started, was not up to his usual standard.",3,3.355303861084394,0.0922153528253304,3,3.4646360747428844,0.0658958654053662,4,4.543041920289397,0.1238244806991903,6,5.569053693208844,0.0716635615093025,6,5.962184153497219,0.1189502351553426,4,4.550648488104343,0.1009419632852146,4,4.045800819993019,0.0603479195538778,5,4.63445533331344,0.0569155557892166,4,4.317758602161845,0.0585033272332971,5,5.003282182144979,0.012660034885194,4,4.155273657059297,0.1091598471396907,7.259747671931109,4,4.430471278727055,0.1149380825977262,7.342738658189774,6,5.48399992287159,0.0770880516566605,7.811277776956558,6,5.086872637271881,0.0867437054066755,7.602684259414673,5,4.809859654051252,0.0869111950010744,6.731607029634688,6,5.86444556096103,0.0744792728448474,7.350848629837856,6,5.759442387119634,0.0527784932905473,7.835479400642725,5,4.991029490444873,0.0422832611519541,7.002312818454811,5,4.759967878620955,0.0515474225719873,7.880796832575038,11.1,16.6,0.000482249980992
4,4,470,1,"Since they believed that the grounds were haunted, they decided to publish their findings in the book, a",8,7.484190573915839,0.0858995355776672,3,3.385686055291444,0.0657395513394781,4,4.185156233608723,0.1434267278845224,6,5.459270564140752,0.0968658517645253,6,6.27708226442337,0.107268857833587,6,6.073285914957523,0.0919267190535017,4,3.146975874900818,0.0916411669095356,6,5.824759067779041,0.0504719442241852,3,3.3875621914558,0.059088942579044,5,5.009755026847188,0.0083380524094282,7,6.1870596166700125,0.1328209841251912,7.458215945982374,6,5.761511944234371,0.1206183141432779,7.0,6,6.397314578294754,0.0571263412254672,7.3973148465156555,4,4.602684438228607,0.1160585306691151,8.0,5,5.006168187712319,0.0923739068449727,6.24395360532435,3,3.235031815245748,0.1217246416445713,6.628885517944582,6,5.814343474805355,0.0815699235540073,7.678879386990047,4,4.817015445372817,0.088228314991615,7.00238680835173,5,4.994495884045634,0.0089719868506647,7.904649626690043,6.8,10.3,0.000378176771404
5,5,947,1,Reflection Nebulae are usually blue because the scattering is more efficient for blue light than red( this is the same scattering process that gives us blue skies and red Sunsets).,2,2.453739922695604,0.0656497337415747,3,3.033570154493645,0.0273187022001944,5,5.082559341331944,0.098513883913166,5,5.01750063902,0.0916039674537439,6,5.611832618713379,0.0997425510357311,4,4.091540135443211,0.0897804157324616,4,4.044580236077309,0.0403370452814712,4,4.027635035153139,0.0116055045085537,4,3.6951717428328266,0.0552260973976871,3,2.9961200755927546,0.0057162229643423,3,3.3182360526698176,0.071571402107775,7.676183169802243,6,5.316314443945885,0.0840900894209772,6.88212525844574,4,4.697516590356827,0.0861279145494685,7.889272727072239,4,4.252283565700054,0.0484265584291538,7.841130077838898,4,3.937447748037812,0.0456745938418939,6.836280151265328,5,5.216876701102592,0.094599876962862,6.980647126474651,5,4.890227443305776,0.087373206499755,7.867068310053014,4,4.347127291464574,0.0528880347110848,7.003388543904293,2,2.001171181623171,0.0013786106677987,8.037268447988026,13.8,17.3,0.0006109788280297
6,6,920,1,British fives is a relative of many Racquet sports.,3,4.162617847323418,0.1487737686965949,3,3.1016425691341283,0.0457188009798859,5,4.924612280912697,0.1073170203569562,5,5.222920737811364,0.0894750462672021,6,5.991471081972122,0.1204969134340982,2,2.7129740118980408,0.0877115562934419,2,2.110727496445179,0.0295902015580156,3,2.99801657827609,0.0024547337406376,3,2.9888150145423538,0.0175711898137717,7,6.9282542476430535,0.0258585632965028,3,4.214219056069851,0.1472801796675053,7.673972164324368,6,5.949360333383083,0.1100818819303203,6.794628977775574,4,3.645372621715069,0.0977063678269998,8.0,2,2.075858175754547,0.022831160316721,8.0,4,3.5971892382367514,0.0770321728407579,6.530717745688889,5,4.942004599608481,0.1096102010239667,6.896247358439723,6,5.737643618602306,0.0664205978152905,7.817659109052784,3,3.0236529595752017,0.0167760129618621,7.222650657440568,3,3.918274955736706,0.0887036281392399,7.995965190888067,3.3,5.6,0.0003251918610565
7,7,1229,2,Tickets can be Retailed for national rail services. These services are the docklands light railway and on oyster card.,4,5.077206909656525,0.1459282368413948,6,5.923436705663335,0.0321952865541529,4,4.454468599986285,0.0994285734415921,6,5.918240666338534,0.0423409036988183,6,6.310306221246719,0.102211491589641,7,7.191565364599228,0.0842453116501544,4,3.867712065577507,0.0916105684172153,6,6.111281361150759,0.0688156425263401,3,3.1207110637050164,0.0444826907133075,7,6.978834417066537,0.0138460554062857,6,5.822711890563369,0.1247647683453156,7.08048954914193,6,6.788226306438446,0.090425740874737,7.222700357437134,7,6.878855407238007,0.0792280913578749,7.65135532617569,4,4.772536665201187,0.1020886111256158,7.448104560375214,6,6.045363513148914,0.0396052639539476,5.136489121417981,5,4.785941430367529,0.1109188586693395,6.868021976275486,6,6.078006311283389,0.046092714104608,7.406144362957093,6,6.066107398084569,0.0699367979603986,7.22269466032003,5,5.002792283306008,0.0286643623003818,7.222680175033151,5.8,8.1,0.0003342236044442
8,8,1394,1,He also wrote two books of short stories; they were called the Ribbajack& other curious yarns and seven strange and ghostly tales.,3,2.6628997686784714,0.0819877340847386,3,3.0884149735356914,0.0475432691961599,4,4.131958413869143,0.1288819189627447,4,3.918946055637207,0.0716644900698017,6,6.247395381331444,0.1253956215797392,6,5.316495664417744,0.1126946424928509,2,2.7755454778671265,0.0893525233347203,5,4.758755709790421,0.0469990322293585,4,4.076362163769261,0.0320127789453176,2,2.023052591804671,0.0105877094734271,3,2.662530748581048,0.0750012659551757,7.853154686075868,4,4.970080807805061,0.1230333449983961,7.5,6,5.571340166032314,0.1010926550320908,7.739171475172043,4,3.076102524995804,0.0921884025491027,8.0,3,3.521368391215219,0.0702715392339594,6.950781828329127,6,5.328582102432847,0.1212504918498809,7.179167591966689,4,4.643285012338311,0.0974571724923084,7.980598456993334,4,4.500863500352807,0.058040779658452,7.006625873764278,2,1.9959307472069043,0.002551509257123,8.0953038906664,9.5,12.9,0.0005795604314823
9,9,50,2,Gumbasia was Crated in a style Vorkapich taught called kinesthetic film principles.,7,6.7068874151445925,0.1094218884747109,3,3.659155509318225,0.0824317042795572,6,5.94525851495564,0.1056166441999698,7,6.897425165167078,0.030900691335309,6,6.530700773000717,0.1090682194551842,8,7.65135532617569,0.0549749854538071,6,5.5696389228105545,0.0833228263982426,5,5.412820073868033,0.0654319441353497,4,4.0255418630763415,0.0201217887506101,7,6.746143140131608,0.0565645250139877,7,6.924552772521565,0.0694302661375229,7.53152294753454,6,6.168863721191883,0.119696518092253,6.7249588668346405,7,6.959519237279892,0.0796633065150403,7.5,6,5.516127854585648,0.1019844201679963,7.551895439624786,6,5.745412621181458,0.074266694713661,6.359770145762013,6,5.773471634835005,0.1147827520710536,6.908476852346212,7,6.886098227274488,0.0337068633869629,7.373140488460194,6,5.700724987500507,0.0727096662803344,7.053393384336232,6,5.794830120747974,0.0725510517500791,6.99938137484628,8.0,12.8,0.0005604838207097
